File,Heuristic,Result,Execution Time
src/inputs/test/unsat/nop.cnf,Boehm,UNSAT,0.410
src/inputs/test/unsat/tree5.cnf,Boehm,UNSAT,0.414
src/inputs/test/unsat/op5.cnf,Boehm,UNSAT,0.444
src/inputs/test/unsat/nop2.cnf,Boehm,UNSAT,0.256
src/inputs/test/unsat/hole5.cnf,Boehm,UNSAT,0.227
src/inputs/test/unsat/rand3_2.cnf,Boehm,UNSAT,0.220
src/inputs/test/unsat/tseitin.cnf,Boehm,UNSAT,0.247
src/inputs/test/unsat/subset6.cnf,Boehm,UNSAT,0.539
src/inputs/test/unsat/hole2.cnf,Boehm,UNSAT,0.193
src/inputs/test/unsat/parity5.cnf,Boehm,UNSAT,0.173
src/inputs/test/unsat/tent2_2.cnf,Boehm,UNSAT,0.208
src/inputs/test/unsat/rand3.cnf,Boehm,UNSAT,0.240
src/inputs/test/unsat/count7_2.cnf,Boehm,UNSAT,0.272
src/inputs/test/sat/parity4.cnf,Boehm,SAT,0.167
src/inputs/test/sat/unit.cnf,Boehm,SAT,0.212
src/inputs/test/sat/xor.cnf,Boehm,SAT,0.207
src/inputs/test/sat/matching4_3.cnf,Boehm,SAT,0.218
src/inputs/test/unsat/stone_pyramid4_2.cnf,Boehm,UNSAT,0.751
src/inputs/test/sat/parity6.cnf,Boehm,SAT,0.201
src/inputs/test/sat/tent4_4.cnf,Boehm,SAT,0.215
src/inputs/test/sat/count6_2.cnf,Boehm,SAT,0.182
src/inputs/test/sat/count6_3.cnf,Boehm,SAT,0.216
src/inputs/test/sat/unique.cnf,Boehm,SAT,0.212
src/inputs/test/sat/matching6_4.cnf,Boehm,SAT,0.185
src/inputs/test/sat/kcolor.cnf,Boehm,SAT,0.216
src/inputs/test/sat/count4_2.cnf,Boehm,SAT,0.221
src/inputs/test/sat/rand6.cnf,Boehm,SAT,0.182
src/inputs/test/sat/hole3_3.cnf,Boehm,SAT,0.222
src/inputs/test/sat/hole5_5.cnf,Boehm,SAT,0.234
src/inputs/test/unsat/op7.cnf,Boehm,UNSAT,3.210
src/inputs/unsat/aim-100-1_6-no-1.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/pret60_75.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/pret60_60.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/ssa2670-130.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/aim-100-1_6-no-2.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/pret150_60.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/aim-50-2_0-no-4.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/pret150_75.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/aim-50-2_0-no-2.cnf,Boehm,UNSAT,14.375
src/inputs/unsat/aim-100-1_6-no-3.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/aim-50-2_0-no-1.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/aim-100-1_6-no-4.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/aim-50-2_0-no-3.cnf,Boehm,UNSAT,58.571
src/inputs/unsat/hole7.cnf,Boehm,UNSAT,16.428
src/inputs/unsat/hole6.cnf,Boehm,UNSAT,1.555
src/inputs/unsat/aim-200-1_6-no-1.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/aim-200-1_6-no-3.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/aim-200-1_6-no-2.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/ssa2670-141.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/aim-50-1_6-no-4.cnf,Boehm,UNSAT,0.209
src/inputs/unsat/aim-200-1_6-no-4.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/aim-100-2_0-no-1.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/aim-100-2_0-no-3.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/aim-100-2_0-no-2.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/pret60_25.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/aim-50-1_6-no-1.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/hole8.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/hole9.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/aim-50-1_6-no-3.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/aim-50-1_6-no-2.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/pret150_25.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/aim-100-2_0-no-4.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/ssa6288-047.cnf,Boehm,UNSAT,0.369
src/inputs/unsat/aim-200-2_0-no-1.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/pret60_40.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/ssa0432-003.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/aim-200-2_0-no-2.cnf,Boehm,TIMEOUT,--
src/inputs/sat/par8-5.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-100-6_0-yes1-2.cnf,Boehm,SAT,0.254
src/inputs/sat/par16-5.cnf,Boehm,TIMEOUT,--
src/inputs/sat/uf50-09.cnf,Boehm,SAT,0.312
src/inputs/sat/ii32e2.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/pret150_40.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii16e2.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/aim-200-2_0-no-3.cnf,Boehm,TIMEOUT,--
src/inputs/unsat/aim-200-2_0-no-4.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii32e3.cnf,Boehm,TIMEOUT,--
src/inputs/sat/uf50-08.cnf,Boehm,SAT,0.209
src/inputs/sat/par16-4.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii8a1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-100-6_0-yes1-3.cnf,Boehm,SAT,0.188
src/inputs/sat/par8-4.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-100-6_0-yes1-1.cnf,Boehm,SAT,0.187
src/inputs/sat/ii8a3.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-200-1_6-yes1-3.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii32e1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/par8-4-c.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii16e1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-200-1_6-yes1-2.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-200-2_0-yes1-1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii8a2.cnf,Boehm,TIMEOUT,--
src/inputs/sat/par8-3.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-100-6_0-yes1-4.cnf,Boehm,SAT,0.293
src/inputs/sat/par16-3.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii32e4.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-200-2_0-yes1-3.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii16d1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii32d1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii32e5.cnf,Boehm,TIMEOUT,--
src/inputs/sat/par16-2.cnf,Boehm,TIMEOUT,--
src/inputs/sat/par8-2.cnf,Boehm,TIMEOUT,--
src/inputs/sat/par8-2-c.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii32d3.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii16d2.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii32d2.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-200-1_6-yes1-1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii8a4.cnf,Boehm,TIMEOUT,--
src/inputs/sat/par16-1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/par8-1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-50-2_0-yes1-3.cnf,Boehm,SAT,0.332
src/inputs/sat/par8-5-c.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii32c1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii16c1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-200-2_0-yes1-2.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii32b4.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-50-1_6-yes1-1.cnf,Boehm,SAT,2.434
src/inputs/sat/ii32c2.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-100-3_4-yes1-4.cnf,Boehm,SAT,0.612
src/inputs/sat/uf50-018.cnf,Boehm,SAT,0.225
src/inputs/sat/aim-50-1_6-yes1-3.cnf,Boehm,SAT,2.340
src/inputs/sat/ii16c2.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-50-1_6-yes1-2.cnf,Boehm,SAT,0.190
src/inputs/sat/uf50-019.cnf,Boehm,SAT,0.211
src/inputs/sat/ii32c3.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-50-2_0-yes1-2.cnf,Boehm,SAT,8.11
src/inputs/sat/aim-50-2_0-yes1-1.cnf,Boehm,SAT,2.769
src/inputs/sat/ii32b3.cnf,Boehm,TIMEOUT,--
src/inputs/sat/par8-3-c.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii16b2.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii32b2.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-50-2_0-yes1-4.cnf,Boehm,SAT,0.219
src/inputs/sat/aim-100-3_4-yes1-1.cnf,Boehm,SAT,3.151
src/inputs/sat/ii32c4.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii16b1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/par8-1-c.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-100-3_4-yes1-2.cnf,Boehm,SAT,4.7
src/inputs/sat/ii32b1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-50-1_6-yes1-4.cnf,Boehm,SAT,21.212
src/inputs/sat/ii8e2.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-50-6_0-yes1-2.cnf,Boehm,SAT,0.194
src/inputs/sat/par16-5-c.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-100-3_4-yes1-3.cnf,Boehm,SAT,20.509
src/inputs/sat/uf50-012.cnf,Boehm,SAT,0.274
src/inputs/sat/ssa7552-160.cnf,Boehm,SAT,0.477
src/inputs/sat/ii16a1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-200-3_4-yes1-4.cnf,Boehm,SAT,0.693
src/inputs/sat/ii32a1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/uf50-013.cnf,Boehm,SAT,0.298
src/inputs/sat/aim-50-6_0-yes1-3.cnf,Boehm,SAT,0.238
src/inputs/sat/ii8e1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-50-6_0-yes1-1.cnf,Boehm,SAT,0.143
src/inputs/sat/ii16a2.cnf,Boehm,TIMEOUT,--
src/inputs/sat/uf50-011.cnf,Boehm,SAT,0.291
src/inputs/sat/uf50-010.cnf,Boehm,SAT,0.184
src/inputs/sat/aim-50-6_0-yes1-4.cnf,Boehm,SAT,0.158
src/inputs/sat/par16-3-c.cnf,Boehm,TIMEOUT,--
src/inputs/sat/uf50-014.cnf,Boehm,SAT,0.209
src/inputs/sat/aim-200-1_6-yes1-4.cnf,Boehm,TIMEOUT,--
src/inputs/sat/uf50-015.cnf,Boehm,SAT,0.209
src/inputs/sat/ii8d1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/uf50-017.cnf,Boehm,SAT,0.215
src/inputs/sat/aim-200-2_0-yes1-4.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ssa7552-159.cnf,Boehm,UNSAT,0.228
src/inputs/sat/ssa7552-158.cnf,Boehm,UNSAT,0.202
src/inputs/sat/uf50-016.cnf,Boehm,SAT,0.265
src/inputs/sat/ii8d2.cnf,Boehm,TIMEOUT,--
src/inputs/sat/par16-1-c.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ssa7552-038.cnf,Boehm,UNSAT,0.216
src/inputs/sat/aim-100-2_0-yes1-3.cnf,Boehm,SAT,6.995
src/inputs/sat/ii8c1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-200-3_4-yes1-2.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-200-3_4-yes1-3.cnf,Boehm,TIMEOUT,--
src/inputs/sat/uf50-01.cnf,Boehm,SAT,0.366
src/inputs/sat/ii8b4.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-100-2_0-yes1-2.cnf,Boehm,SAT,0.308
src/inputs/sat/par16-4-c.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii8c2.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-200-3_4-yes1-1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/uf50-03.cnf,Boehm,SAT,0.257
src/inputs/sat/aim-200-6_0-yes1-1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-50-3_4-yes1-4.cnf,Boehm,SAT,0.226
src/inputs/sat/aim-200-6_0-yes1-2.cnf,Boehm,SAT,58.76
src/inputs/sat/uf50-02.cnf,Boehm,SAT,0.306
src/inputs/sat/aim-100-1_6-yes1-1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-100-1_6-yes1-3.cnf,Boehm,TIMEOUT,--
src/inputs/sat/ii8b3.cnf,Boehm,TIMEOUT,--
src/inputs/sat/uf50-06.cnf,Boehm,UNSAT,0.215
src/inputs/sat/aim-50-3_4-yes1-1.cnf,Boehm,SAT,0.212
src/inputs/sat/uf50-07.cnf,Boehm,SAT,0.224
src/inputs/sat/ii8b2.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-100-1_6-yes1-2.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-200-6_0-yes1-3.cnf,Boehm,SAT,30.6
src/inputs/sat/uf50-05.cnf,Boehm,SAT,0.206
src/inputs/sat/par16-2-c.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-50-3_4-yes1-2.cnf,Boehm,SAT,0.215
src/inputs/sat/aim-50-3_4-yes1-3.cnf,Boehm,SAT,0.220
src/inputs/sat/aim-200-6_0-yes1-4.cnf,Boehm,SAT,19.887
src/inputs/sat/uf50-04.cnf,Boehm,SAT,0.255
src/inputs/sat/ii8b1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-100-2_0-yes1-1.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-100-2_0-yes1-4.cnf,Boehm,TIMEOUT,--
src/inputs/sat/aim-100-1_6-yes1-4.cnf,Boehm,TIMEOUT,--
