File,Heuristic,Result,Execution Time
src/inputs/test/unsat/nop.cnf,DLCS,UNSAT,0.330
src/inputs/test/unsat/tree5.cnf,DLCS,UNSAT,0.331
src/inputs/test/unsat/op5.cnf,DLCS,UNSAT,0.368
src/inputs/test/unsat/nop2.cnf,DLCS,UNSAT,0.230
src/inputs/test/unsat/hole5.cnf,DLCS,UNSAT,0.195
src/inputs/test/unsat/rand3_2.cnf,DLCS,UNSAT,0.229
src/inputs/test/unsat/tseitin.cnf,DLCS,UNSAT,0.254
src/inputs/test/unsat/parity5.cnf,DLCS,UNSAT,0.172
src/inputs/test/unsat/hole2.cnf,DLCS,UNSAT,0.199
src/inputs/test/unsat/subset6.cnf,DLCS,UNSAT,0.793
src/inputs/test/unsat/tent2_2.cnf,DLCS,UNSAT,0.209
src/inputs/test/unsat/rand3.cnf,DLCS,UNSAT,0.214
src/inputs/test/unsat/count7_2.cnf,DLCS,UNSAT,0.263
src/inputs/test/sat/unit.cnf,DLCS,SAT,0.219
src/inputs/test/sat/matching4_3.cnf,DLCS,SAT,0.184
src/inputs/test/sat/parity4.cnf,DLCS,SAT,0.227
src/inputs/test/unsat/stone_pyramid4_2.cnf,DLCS,UNSAT,0.416
src/inputs/test/sat/parity6.cnf,DLCS,SAT,0.249
src/inputs/test/sat/xor.cnf,DLCS,SAT,0.260
src/inputs/test/sat/tent4_4.cnf,DLCS,SAT,0.258
src/inputs/test/sat/count6_3.cnf,DLCS,SAT,0.255
src/inputs/test/sat/count6_2.cnf,DLCS,SAT,0.260
src/inputs/test/sat/unique.cnf,DLCS,SAT,0.254
src/inputs/test/sat/kcolor.cnf,DLCS,SAT,0.255
src/inputs/test/sat/count4_2.cnf,DLCS,SAT,0.258
src/inputs/test/sat/matching6_4.cnf,DLCS,SAT,0.261
src/inputs/test/unsat/op7.cnf,DLCS,UNSAT,2.553
src/inputs/test/sat/hole3_3.cnf,DLCS,SAT,0.252
src/inputs/test/sat/rand6.cnf,DLCS,SAT,0.259
src/inputs/test/sat/hole5_5.cnf,DLCS,SAT,0.258
src/inputs/unsat/aim-100-1_6-no-1.cnf,DLCS,TIMEOUT,--
src/inputs/unsat/pret60_75.cnf,DLCS,TIMEOUT,--
src/inputs/unsat/pret60_60.cnf,DLCS,TIMEOUT,--
src/inputs/unsat/ssa2670-130.cnf,DLCS,TIMEOUT,--
src/inputs/unsat/aim-50-2_0-no-4.cnf,DLCS,UNSAT,13.870
src/inputs/unsat/aim-100-1_6-no-2.cnf,DLCS,TIMEOUT,--
src/inputs/unsat/pret150_60.cnf,DLCS,TIMEOUT,--
src/inputs/unsat/pret150_75.cnf,DLCS,TIMEOUT,--
src/inputs/unsat/aim-50-2_0-no-2.cnf,DLCS,UNSAT,7.597
src/inputs/unsat/aim-100-1_6-no-3.cnf,DLCS,TIMEOUT,--
src/inputs/unsat/aim-50-2_0-no-3.cnf,DLCS,UNSAT,20.662
src/inputs/unsat/aim-50-2_0-no-1.cnf,DLCS,UNSAT,37.169
src/inputs/unsat/hole7.cnf,DLCS,UNSAT,10.687
src/inputs/unsat/aim-100-1_6-no-4.cnf,DLCS,TIMEOUT,--
src/inputs/unsat/hole6.cnf,DLCS,UNSAT,1.411
src/inputs/unsat/aim-200-1_6-no-1.cnf,DLCS,TIMEOUT,--
src/inputs/unsat/aim-200-1_6-no-3.cnf,DLCS,TIMEOUT,--
src/inputs/unsat/aim-200-1_6-no-2.cnf,DLCS,TIMEOUT,--
src/inputs/unsat/ssa2670-141.cnf,DLCS,TIMEOUT,--
src/inputs/unsat/aim-50-1_6-no-4.cnf,DLCS,UNSAT,2.245
src/inputs/unsat/aim-200-1_6-no-4.cnf,DLCS,TIMEOUT,--
src/inputs/unsat/aim-100-2_0-no-1.cnf,DLCS,TIMEOUT,--
src/inputs/unsat/aim-100-2_0-no-3.cnf,DLCS,TIMEOUT,--
src/inputs/unsat/aim-50-1_6-no-1.cnf,DLCS,UNSAT,9.615
src/inputs/unsat/aim-100-2_0-no-2.cnf,DLCS,TIMEOUT,--
src/inputs/unsat/pret60_25.cnf,DLCS,TIMEOUT,--
src/inputs/unsat/hole8.cnf,DLCS,TIMEOUT,--
