File,Heuristic,Result,Execution Time
src/inputs/test/unsat/nop.cnf,Jeroslaw-Wang,UNSAT,0.485
src/inputs/test/unsat/nop2.cnf,Jeroslaw-Wang,UNSAT,0.485
src/inputs/test/unsat/tree5.cnf,Jeroslaw-Wang,UNSAT,0.489
src/inputs/test/unsat/op5.cnf,Jeroslaw-Wang,UNSAT,0.497
src/inputs/test/unsat/op7.cnf,Jeroslaw-Wang,UNSAT,0.663
src/inputs/test/unsat/hole2.cnf,Jeroslaw-Wang,UNSAT,0.320
src/inputs/test/unsat/parity5.cnf,Jeroslaw-Wang,UNSAT,0.163
src/inputs/test/unsat/hole5.cnf,Jeroslaw-Wang,UNSAT,0.342
src/inputs/test/unsat/rand3_2.cnf,Jeroslaw-Wang,UNSAT,0.350
src/inputs/test/unsat/subset6.cnf,Jeroslaw-Wang,UNSAT,0.840
src/inputs/test/unsat/tseitin.cnf,Jeroslaw-Wang,UNSAT,0.358
src/inputs/test/sat/unit.cnf,Jeroslaw-Wang,SAT,0.344
src/inputs/test/sat/parity4.cnf,Jeroslaw-Wang,SAT,0.343
src/inputs/test/unsat/tent2_2.cnf,Jeroslaw-Wang,UNSAT,0.373
src/inputs/test/unsat/rand3.cnf,Jeroslaw-Wang,UNSAT,0.364
src/inputs/test/unsat/count7_2.cnf,Jeroslaw-Wang,UNSAT,0.475
src/inputs/test/unsat/stone_pyramid4_2.cnf,Jeroslaw-Wang,UNSAT,0.553
src/inputs/test/sat/parity6.cnf,Jeroslaw-Wang,SAT,0.366
src/inputs/test/sat/xor.cnf,Jeroslaw-Wang,SAT,0.371
src/inputs/test/sat/matching4_3.cnf,Jeroslaw-Wang,SAT,0.378
src/inputs/test/sat/count6_2.cnf,Jeroslaw-Wang,SAT,0.260
src/inputs/test/sat/count6_3.cnf,Jeroslaw-Wang,SAT,0.174
src/inputs/test/sat/tent4_4.cnf,Jeroslaw-Wang,SAT,0.373
src/inputs/test/sat/matching6_4.cnf,Jeroslaw-Wang,SAT,0.367
src/inputs/test/sat/rand6.cnf,Jeroslaw-Wang,SAT,0.372
src/inputs/test/sat/count4_2.cnf,Jeroslaw-Wang,SAT,0.372
src/inputs/test/sat/kcolor.cnf,Jeroslaw-Wang,SAT,0.374
src/inputs/test/sat/hole5_5.cnf,Jeroslaw-Wang,SAT,0.373
src/inputs/test/sat/unique.cnf,Jeroslaw-Wang,SAT,0.440
src/inputs/test/sat/hole3_3.cnf,Jeroslaw-Wang,SAT,0.412
src/inputs/unsat/pret60_75.cnf,Jeroslaw-Wang,TIMEOUT,--
src/inputs/unsat/aim-100-1_6-no-1.cnf,Jeroslaw-Wang,TIMEOUT,--
src/inputs/unsat/pret60_60.cnf,Jeroslaw-Wang,TIMEOUT,--
src/inputs/unsat/ssa2670-130.cnf,Jeroslaw-Wang,TIMEOUT,--
src/inputs/unsat/aim-100-1_6-no-2.cnf,Jeroslaw-Wang,TIMEOUT,--
src/inputs/unsat/pret150_60.cnf,Jeroslaw-Wang,TIMEOUT,--
src/inputs/unsat/aim-50-2_0-no-2.cnf,Jeroslaw-Wang,UNSAT,5.324
