File,Heuristic,Result,Execution Time
src/inputs/test/unsat/nop2.cnf,mom,UNSAT,0.407
src/inputs/test/unsat/hole5.cnf,mom,UNSAT,0.408
src/inputs/test/unsat/nop.cnf,mom,UNSAT,0.477
src/inputs/test/unsat/tree5.cnf,mom,UNSAT,0.486
src/inputs/test/unsat/rand3_2.cnf,mom,UNSAT,0.488
src/inputs/test/unsat/op5.cnf,mom,UNSAT,0.495
src/inputs/test/unsat/subset6.cnf,mom,UNSAT,0.570
src/inputs/test/unsat/hole2.cnf,mom,UNSAT,0.270
src/inputs/test/unsat/tseitin.cnf,mom,UNSAT,0.276
src/inputs/test/unsat/parity5.cnf,mom,UNSAT,0.350
src/inputs/test/unsat/tent2_2.cnf,mom,UNSAT,0.347
src/inputs/test/unsat/rand3.cnf,mom,UNSAT,0.345
src/inputs/test/unsat/count7_2.cnf,mom,UNSAT,0.355
src/inputs/test/sat/unit.cnf,mom,SAT,0.228
src/inputs/test/sat/parity4.cnf,mom,SAT,0.222
src/inputs/test/unsat/op7.cnf,mom,UNSAT,1.25
src/inputs/test/unsat/stone_pyramid4_2.cnf,mom,UNSAT,0.485
src/inputs/test/sat/xor.cnf,mom,SAT,0.345
src/inputs/test/sat/count6_2.cnf,mom,SAT,0.279
src/inputs/test/sat/matching4_3.cnf,mom,SAT,0.358
src/inputs/test/sat/parity6.cnf,mom,SAT,0.336
src/inputs/test/sat/tent4_4.cnf,mom,SAT,0.352
src/inputs/test/sat/count6_3.cnf,mom,SAT,0.280
src/inputs/test/sat/unique.cnf,mom,SAT,0.263
src/inputs/test/sat/matching6_4.cnf,mom,SAT,0.235
src/inputs/test/sat/count4_2.cnf,mom,SAT,0.404
src/inputs/test/sat/rand6.cnf,mom,SAT,0.401
src/inputs/test/sat/hole3_3.cnf,mom,SAT,0.402
src/inputs/test/sat/hole5_5.cnf,mom,SAT,0.404
src/inputs/test/sat/kcolor.cnf,mom,SAT,0.404
src/inputs/unsat/aim-50-2_0-no-4.cnf,mom,UNSAT,11.393
src/inputs/unsat/aim-100-1_6-no-1.cnf,mom,TIMEOUT,--
src/inputs/unsat/pret60_75.cnf,mom,TIMEOUT,--
src/inputs/unsat/pret60_60.cnf,mom,TIMEOUT,--
src/inputs/unsat/ssa2670-130.cnf,mom,TIMEOUT,--
src/inputs/unsat/pret150_60.cnf,mom,TIMEOUT,--
src/inputs/unsat/aim-100-1_6-no-2.cnf,mom,TIMEOUT,--
src/inputs/unsat/pret150_75.cnf,mom,TIMEOUT,--
src/inputs/unsat/aim-50-2_0-no-3.cnf,mom,UNSAT,0.343
src/inputs/unsat/aim-50-2_0-no-2.cnf,mom,UNSAT,1.840
src/inputs/unsat/hole6.cnf,mom,UNSAT,0.685
src/inputs/unsat/hole7.cnf,mom,UNSAT,5.234
src/inputs/unsat/aim-100-1_6-no-3.cnf,mom,TIMEOUT,--
src/inputs/unsat/aim-50-2_0-no-1.cnf,mom,UNSAT,17.742
src/inputs/unsat/aim-100-1_6-no-4.cnf,mom,TIMEOUT,--
src/inputs/unsat/aim-200-1_6-no-1.cnf,mom,TIMEOUT,--
src/inputs/unsat/aim-200-1_6-no-3.cnf,mom,TIMEOUT,--
src/inputs/unsat/aim-200-1_6-no-2.cnf,mom,TIMEOUT,--
src/inputs/unsat/ssa2670-141.cnf,mom,TIMEOUT,--
src/inputs/unsat/aim-200-1_6-no-4.cnf,mom,TIMEOUT,--
src/inputs/unsat/aim-50-1_6-no-4.cnf,mom,UNSAT,6.887
src/inputs/unsat/aim-100-2_0-no-1.cnf,mom,TIMEOUT,--
src/inputs/unsat/aim-100-2_0-no-3.cnf,mom,TIMEOUT,--
src/inputs/unsat/aim-100-2_0-no-2.cnf,mom,TIMEOUT,--
src/inputs/unsat/pret60_25.cnf,mom,TIMEOUT,--
src/inputs/unsat/aim-50-1_6-no-1.cnf,mom,TIMEOUT,--
src/inputs/unsat/hole8.cnf,mom,TIMEOUT,--
src/inputs/unsat/aim-50-1_6-no-3.cnf,mom,TIMEOUT,--
src/inputs/unsat/ssa6288-047.cnf,mom,UNSAT,0.444
src/inputs/unsat/aim-50-1_6-no-2.cnf,mom,TIMEOUT,--
src/inputs/unsat/pret150_25.cnf,mom,TIMEOUT,--
src/inputs/unsat/hole9.cnf,mom,TIMEOUT,--
src/inputs/unsat/aim-100-2_0-no-4.cnf,mom,TIMEOUT,--
src/inputs/unsat/aim-200-2_0-no-1.cnf,mom,TIMEOUT,--
src/inputs/unsat/pret60_40.cnf,mom,TIMEOUT,--
src/inputs/sat/par8-5.cnf,mom,SAT,0.521
src/inputs/sat/aim-100-6_0-yes1-2.cnf,mom,SAT,0.514
src/inputs/sat/uf50-09.cnf,mom,SAT,0.355
src/inputs/unsat/ssa0432-003.cnf,mom,TIMEOUT,--
src/inputs/unsat/aim-200-2_0-no-2.cnf,mom,TIMEOUT,--
src/inputs/unsat/pret150_40.cnf,mom,TIMEOUT,--
src/inputs/sat/ii32e2.cnf,mom,SAT,8.274
src/inputs/sat/uf50-08.cnf,mom,SAT,0.310
src/inputs/sat/ii32e3.cnf,mom,SAT,3.192
src/inputs/unsat/aim-200-2_0-no-3.cnf,mom,TIMEOUT,--
src/inputs/sat/ii8a1.cnf,mom,SAT,0.289
src/inputs/sat/aim-100-6_0-yes1-3.cnf,mom,SAT,0.262
src/inputs/sat/par8-4.cnf,mom,SAT,0.262
src/inputs/sat/aim-100-6_0-yes1-1.cnf,mom,SAT,0.288
src/inputs/unsat/aim-200-2_0-no-4.cnf,mom,TIMEOUT,--
src/inputs/sat/par16-5.cnf,mom,TIMEOUT,--
src/inputs/sat/ii32e1.cnf,mom,SAT,0.346
src/inputs/sat/aim-200-1_6-yes1-3.cnf,mom,TIMEOUT,--
src/inputs/sat/par8-4-c.cnf,mom,SAT,0.361
src/inputs/sat/ii16e2.cnf,mom,TIMEOUT,--
src/inputs/sat/aim-200-1_6-yes1-2.cnf,mom,TIMEOUT,--
src/inputs/sat/aim-200-2_0-yes1-1.cnf,mom,TIMEOUT,--
src/inputs/sat/par8-3.cnf,mom,SAT,0.420
src/inputs/sat/par16-4.cnf,mom,TIMEOUT,--
src/inputs/sat/aim-100-6_0-yes1-4.cnf,mom,SAT,0.348
src/inputs/sat/ii8a3.cnf,mom,TIMEOUT,--
src/inputs/sat/ii32e4.cnf,mom,SAT,2.710
src/inputs/sat/aim-200-2_0-yes1-3.cnf,mom,TIMEOUT,--
src/inputs/sat/ii32d1.cnf,mom,SAT,2.274
src/inputs/sat/ii32e5.cnf,mom,SAT,19.72
src/inputs/sat/ii16e1.cnf,mom,TIMEOUT,--
src/inputs/sat/aim-200-1_6-yes1-1.cnf,mom,TIMEOUT,--
src/inputs/sat/par8-2.cnf,mom,SAT,0.516
src/inputs/sat/par8-2-c.cnf,mom,SAT,0.384
src/inputs/sat/aim-200-2_0-yes1-2.cnf,mom,TIMEOUT,--
src/inputs/sat/ii32d2.cnf,mom,SAT,2.158
src/inputs/sat/ii8a2.cnf,mom,TIMEOUT,--
src/inputs/sat/par16-3.cnf,mom,TIMEOUT,--
src/inputs/sat/ii16d1.cnf,mom,TIMEOUT,--
src/inputs/sat/aim-200-1_6-yes1-4.cnf,mom,TIMEOUT,--
src/inputs/sat/par8-1.cnf,mom,SAT,0.329
src/inputs/sat/par8-5-c.cnf,mom,SAT,0.349
src/inputs/sat/ii32c1.cnf,mom,SAT,0.290
src/inputs/sat/aim-50-2_0-yes1-3.cnf,mom,SAT,1.411
src/inputs/sat/par16-2.cnf,mom,SAT,45.260
src/inputs/sat/aim-50-1_6-yes1-1.cnf,mom,SAT,11.898
src/inputs/sat/aim-50-2_0-yes1-2.cnf,mom,SAT,0.539
src/inputs/sat/ii32c2.cnf,mom,SAT,0.352
src/inputs/sat/aim-100-3_4-yes1-4.cnf,mom,SAT,0.424
src/inputs/sat/uf50-018.cnf,mom,SAT,0.257
src/inputs/sat/aim-50-1_6-yes1-3.cnf,mom,SAT,0.790
src/inputs/sat/ii32b4.cnf,mom,SAT,11.22
src/inputs/sat/aim-50-1_6-yes1-2.cnf,mom,SAT,0.505
src/inputs/sat/uf50-019.cnf,mom,SAT,0.283
src/inputs/sat/ii32c3.cnf,mom,SAT,1.598
src/inputs/sat/aim-50-2_0-yes1-1.cnf,mom,SAT,1.690
src/inputs/sat/aim-100-3_4-yes1-1.cnf,mom,SAT,0.543
src/inputs/sat/ii32b3.cnf,mom,SAT,3.848
src/inputs/sat/par8-3-c.cnf,mom,SAT,0.310
src/inputs/sat/ii32d3.cnf,mom,TIMEOUT,--
src/inputs/sat/ii16d2.cnf,mom,TIMEOUT,--
src/inputs/sat/aim-50-2_0-yes1-4.cnf,mom,SAT,0.559
src/inputs/sat/aim-100-3_4-yes1-2.cnf,mom,SAT,2.76
src/inputs/sat/aim-200-2_0-yes1-4.cnf,mom,TIMEOUT,--
src/inputs/sat/ii8a4.cnf,mom,TIMEOUT,--
src/inputs/sat/par8-1-c.cnf,mom,SAT,0.294
src/inputs/sat/aim-50-1_6-yes1-4.cnf,mom,SAT,1.708
src/inputs/sat/ii32b1.cnf,mom,SAT,0.420
src/inputs/sat/par16-1.cnf,mom,TIMEOUT,--
src/inputs/sat/aim-100-3_4-yes1-3.cnf,mom,SAT,3.298
src/inputs/sat/aim-50-6_0-yes1-2.cnf,mom,SAT,0.299
src/inputs/sat/ii16c1.cnf,mom,TIMEOUT,--
src/inputs/sat/uf50-012.cnf,mom,SAT,0.304
src/inputs/sat/ssa7552-160.cnf,mom,SAT,1.116
src/inputs/sat/ii32c4.cnf,mom,SAT,19.59
src/inputs/sat/ii16c2.cnf,mom,TIMEOUT,--
src/inputs/sat/ii32b2.cnf,mom,SAT,40.115
src/inputs/sat/uf50-013.cnf,mom,SAT,0.291
src/inputs/sat/aim-50-6_0-yes1-3.cnf,mom,SAT,0.315
src/inputs/sat/ii16b2.cnf,mom,TIMEOUT,--
src/inputs/sat/aim-50-6_0-yes1-1.cnf,mom,SAT,0.293
src/inputs/sat/uf50-011.cnf,mom,SAT,0.310
src/inputs/sat/ii32a1.cnf,mom,SAT,22.2
src/inputs/sat/uf50-010.cnf,mom,SAT,0.291
src/inputs/sat/aim-50-6_0-yes1-4.cnf,mom,SAT,0.272
src/inputs/sat/ii16b1.cnf,mom,TIMEOUT,--
src/inputs/sat/uf50-014.cnf,mom,SAT,0.289
src/inputs/sat/ii8e2.cnf,mom,TIMEOUT,--
src/inputs/sat/par16-5-c.cnf,mom,TIMEOUT,--
src/inputs/sat/uf50-015.cnf,mom,SAT,0.248
src/inputs/sat/aim-200-3_4-yes1-4.cnf,mom,TIMEOUT,--
src/inputs/sat/uf50-017.cnf,mom,SAT,0.309
src/inputs/sat/ii16a1.cnf,mom,TIMEOUT,--
src/inputs/sat/ssa7552-159.cnf,mom,SAT,0.447
src/inputs/sat/ssa7552-158.cnf,mom,SAT,0.418
src/inputs/sat/uf50-016.cnf,mom,SAT,0.281
src/inputs/sat/ii8e1.cnf,mom,TIMEOUT,--
src/inputs/sat/ii16a2.cnf,mom,TIMEOUT,--
src/inputs/sat/par16-3-c.cnf,mom,TIMEOUT,--
src/inputs/sat/aim-200-3_4-yes1-2.cnf,mom,SAT,47.241
src/inputs/sat/ii8c1.cnf,mom,SAT,0.631
src/inputs/sat/aim-200-3_4-yes1-3.cnf,mom,TIMEOUT,--
src/inputs/sat/ii8d1.cnf,mom,TIMEOUT,--
src/inputs/sat/uf50-01.cnf,mom,SAT,0.382
src/inputs/sat/aim-200-3_4-yes1-1.cnf,mom,TIMEOUT,--
src/inputs/sat/ii8d2.cnf,mom,TIMEOUT,--
src/inputs/sat/par16-1-c.cnf,mom,TIMEOUT,--
src/inputs/sat/ssa7552-038.cnf,mom,TIMEOUT,--
src/inputs/sat/aim-200-6_0-yes1-1.cnf,mom,SAT,54.137
src/inputs/sat/uf50-03.cnf,mom,SAT,0.269
src/inputs/sat/aim-100-2_0-yes1-3.cnf,mom,TIMEOUT,--
src/inputs/sat/aim-50-3_4-yes1-4.cnf,mom,SAT,0.297
src/inputs/sat/aim-200-6_0-yes1-2.cnf,mom,SAT,21.491
src/inputs/sat/uf50-02.cnf,mom,SAT,0.445
src/inputs/sat/aim-100-1_6-yes1-1.cnf,mom,TIMEOUT,--
src/inputs/sat/aim-200-6_0-yes1-3.cnf,mom,SAT,5.494
src/inputs/sat/ii8b4.cnf,mom,TIMEOUT,--
src/inputs/sat/uf50-06.cnf,mom,SAT,0.353
src/inputs/sat/aim-50-3_4-yes1-1.cnf,mom,SAT,0.383
src/inputs/sat/uf50-07.cnf,mom,SAT,0.294
src/inputs/sat/aim-100-2_0-yes1-2.cnf,mom,TIMEOUT,--
src/inputs/sat/par16-4-c.cnf,mom,TIMEOUT,--
src/inputs/sat/aim-200-6_0-yes1-4.cnf,mom,SAT,17.746
src/inputs/sat/ii8c2.cnf,mom,TIMEOUT,--
src/inputs/sat/uf50-05.cnf,mom,SAT,0.309
src/inputs/sat/aim-50-3_4-yes1-2.cnf,mom,SAT,0.271
src/inputs/sat/aim-50-3_4-yes1-3.cnf,mom,SAT,0.431
src/inputs/sat/aim-100-1_6-yes1-3.cnf,mom,TIMEOUT,--
src/inputs/sat/uf50-04.cnf,mom,SAT,0.346
src/inputs/sat/ii8b1.cnf,mom,SAT,0.498
src/inputs/sat/aim-100-1_6-yes1-2.cnf,mom,TIMEOUT,--
src/inputs/sat/aim-100-2_0-yes1-1.cnf,mom,TIMEOUT,--
src/inputs/sat/ii8b3.cnf,mom,TIMEOUT,--
src/inputs/sat/ii8b2.cnf,mom,TIMEOUT,--
src/inputs/sat/aim-100-2_0-yes1-4.cnf,mom,TIMEOUT,--
src/inputs/sat/par16-2-c.cnf,mom,TIMEOUT,--
src/inputs/sat/aim-100-1_6-yes1-4.cnf,mom,TIMEOUT,--
