File,Heuristic,Result,Execution Time
src/inputs/sat/aim-100-3_4-yes1-1.cnf,arbitrary,SAT,0.451
src/inputs/sat/uf50-08.cnf,arbitrary,SAT,0.462
src/inputs/sat/ii32b1.cnf,arbitrary,SAT,0.540
src/inputs/sat/ii16e2.cnf,arbitrary,SAT,0.970
src/inputs/sat/uf50-017.cnf,arbitrary,SAT,0.108
src/inputs/sat/uf50-018.cnf,arbitrary,SAT,0.103
src/inputs/sat/aim-100-3_4-yes1-3.cnf,arbitrary,SAT,0.189
src/inputs/sat/ii32c3.cnf,arbitrary,SAT,0.190
src/inputs/sat/uf50-015.cnf,arbitrary,SAT,0.109
src/inputs/sat/ii32d1.cnf,arbitrary,SAT,2.908
src/inputs/sat/ii8b1.cnf,arbitrary,SAT,0.243
src/inputs/sat/uf50-05.cnf,arbitrary,SAT,0.110
src/inputs/sat/ii16c2.cnf,arbitrary,SAT,3.540
src/inputs/sat/par8-3.cnf,arbitrary,SAT,0.304
src/inputs/sat/aim-50-6_0-yes1-2.cnf,arbitrary,SAT,0.122
src/inputs/sat/par8-3-c.cnf,arbitrary,SAT,0.149
src/inputs/sat/ii32e4.cnf,arbitrary,SAT,3.737
src/inputs/sat/ii8a1.cnf,arbitrary,SAT,0.120
src/inputs/sat/uf50-019.cnf,arbitrary,SAT,0.239
src/inputs/sat/par8-1.cnf,arbitrary,SAT,0.127
src/inputs/sat/par8-2-c.cnf,arbitrary,SAT,0.115
src/inputs/sat/ii32e1.cnf,arbitrary,SAT,0.138
src/inputs/sat/aim-200-2_0-yes1-2.cnf,arbitrary,SAT,0.263
src/inputs/sat/uf50-012.cnf,arbitrary,SAT,0.139
src/inputs/sat/aim-100-3_4-yes1-2.cnf,arbitrary,SAT,0.213
src/inputs/sat/par16-1-c.cnf,arbitrary,SAT,0.850
src/inputs/sat/aim-50-6_0-yes1-1.cnf,arbitrary,SAT,0.104
src/inputs/sat/aim-50-2_0-yes1-3.cnf,arbitrary,SAT,0.177
src/inputs/sat/aim-100-2_0-yes1-3.cnf,arbitrary,SAT,0.125
src/inputs/sat/ii8e2.cnf,arbitrary,SAT,1.73
src/inputs/sat/ii16d1.cnf,arbitrary,SAT,6.161
src/inputs/sat/aim-100-1_6-yes1-4.cnf,arbitrary,SAT,0.100
src/inputs/sat/aim-100-6_0-yes1-3.cnf,arbitrary,SAT,0.152
src/inputs/sat/uf50-03.cnf,arbitrary,SAT,0.132
src/inputs/sat/aim-100-1_6-yes1-3.cnf,arbitrary,SAT,0.130
src/inputs/sat/aim-100-1_6-yes1-2.cnf,arbitrary,SAT,0.111
src/inputs/sat/aim-50-2_0-yes1-4.cnf,arbitrary,SAT,0.98
src/inputs/sat/aim-50-1_6-yes1-3.cnf,arbitrary,SAT,0.114
src/inputs/sat/ii8e1.cnf,arbitrary,SAT,0.362
src/inputs/sat/aim-100-6_0-yes1-4.cnf,arbitrary,SAT,0.127
src/inputs/sat/ii32e3.cnf,arbitrary,SAT,3.539
src/inputs/sat/uf50-06.cnf,arbitrary,SAT,0.147
src/inputs/sat/uf50-010.cnf,arbitrary,SAT,0.100
src/inputs/sat/aim-200-1_6-yes1-2.cnf,arbitrary,SAT,0.173
src/inputs/sat/aim-100-2_0-yes1-1.cnf,arbitrary,SAT,0.127
src/inputs/sat/aim-200-2_0-yes1-3.cnf,arbitrary,SAT,0.245
src/inputs/sat/ii8c2.cnf,arbitrary,SAT,1.316
src/inputs/sat/par8-2.cnf,arbitrary,SAT,0.165
src/inputs/sat/aim-50-6_0-yes1-4.cnf,arbitrary,SAT,0.109
src/inputs/sat/aim-50-3_4-yes1-1.cnf,arbitrary,SAT,0.110
src/inputs/sat/aim-50-3_4-yes1-2.cnf,arbitrary,SAT,0.124
src/inputs/sat/ii32e2.cnf,arbitrary,SAT,0.175
src/inputs/sat/ii32b3.cnf,arbitrary,SAT,1.500
src/inputs/sat/ii32b2.cnf,arbitrary,SAT,2.994
src/inputs/sat/ii32d2.cnf,arbitrary,SAT,19.649
src/inputs/sat/ssa7552-159.cnf,arbitrary,SAT,0.293
src/inputs/sat/aim-200-1_6-yes1-3.cnf,arbitrary,SAT,0.170
src/inputs/sat/ii32e5.cnf,arbitrary,SAT,2.517
src/inputs/sat/aim-100-2_0-yes1-2.cnf,arbitrary,SAT,0.139
src/inputs/sat/aim-200-3_4-yes1-1.cnf,arbitrary,SAT,0.267
src/inputs/sat/aim-100-2_0-yes1-4.cnf,arbitrary,SAT,0.124
src/inputs/sat/ii8a3.cnf,arbitrary,SAT,0.223
src/inputs/sat/aim-200-1_6-yes1-4.cnf,arbitrary,SAT,0.182
src/inputs/sat/ii32b4.cnf,arbitrary,SAT,21.281
src/inputs/sat/ii16b1.cnf,arbitrary,SAT,4.494
src/inputs/sat/aim-50-1_6-yes1-2.cnf,arbitrary,SAT,0.98
src/inputs/sat/uf50-07.cnf,arbitrary,SAT,0.125
src/inputs/sat/aim-50-3_4-yes1-4.cnf,arbitrary,SAT,0.107
src/inputs/sat/aim-100-6_0-yes1-1.cnf,arbitrary,SAT,0.127
src/inputs/sat/ssa7552-160.cnf,arbitrary,SAT,0.249
src/inputs/sat/uf50-09.cnf,arbitrary,SAT,0.241
src/inputs/sat/aim-50-1_6-yes1-1.cnf,arbitrary,SAT,0.98
src/inputs/sat/aim-50-3_4-yes1-3.cnf,arbitrary,SAT,0.126
src/inputs/sat/aim-200-6_0-yes1-3.cnf,arbitrary,SAT,1.240
src/inputs/sat/aim-100-3_4-yes1-4.cnf,arbitrary,SAT,0.243
src/inputs/sat/ii32c2.cnf,arbitrary,SAT,0.204
src/inputs/sat/ii16a2.cnf,arbitrary,SAT,6.279
src/inputs/sat/par8-4.cnf,arbitrary,SAT,0.120
src/inputs/sat/uf50-016.cnf,arbitrary,SAT,0.103
src/inputs/sat/aim-50-1_6-yes1-4.cnf,arbitrary,SAT,0.98
src/inputs/sat/ii8b4.cnf,arbitrary,SAT,1.633
src/inputs/sat/ii16d2.cnf,arbitrary,TIMEOUT,--
src/inputs/sat/par16-2-c.cnf,arbitrary,TIMEOUT,--
src/inputs/sat/uf50-013.cnf,arbitrary,SAT,0.154
src/inputs/sat/par8-4-c.cnf,arbitrary,SAT,0.151
src/inputs/sat/ii8a2.cnf,arbitrary,SAT,0.190
src/inputs/sat/aim-200-6_0-yes1-4.cnf,arbitrary,SAT,0.271
src/inputs/sat/aim-50-2_0-yes1-2.cnf,arbitrary,SAT,0.119
src/inputs/sat/aim-200-3_4-yes1-2.cnf,arbitrary,SAT,0.565
src/inputs/sat/par16-5.cnf,arbitrary,TIMEOUT,--
src/inputs/sat/ii8c1.cnf,arbitrary,SAT,0.377
src/inputs/sat/ii32d3.cnf,arbitrary,TIMEOUT,--
src/inputs/sat/aim-200-1_6-yes1-1.cnf,arbitrary,SAT,0.237
src/inputs/sat/aim-100-1_6-yes1-1.cnf,arbitrary,SAT,0.105
src/inputs/sat/aim-200-2_0-yes1-4.cnf,arbitrary,SAT,0.304
src/inputs/sat/par16-3-c.cnf,arbitrary,TIMEOUT,--
src/inputs/sat/ii32a1.cnf,arbitrary,SAT,4.296
src/inputs/sat/ii16a1.cnf,arbitrary,SAT,5.915
src/inputs/sat/aim-200-3_4-yes1-4.cnf,arbitrary,SAT,3.474
src/inputs/sat/aim-200-2_0-yes1-1.cnf,arbitrary,SAT,0.306
src/inputs/sat/par16-1.cnf,arbitrary,TIMEOUT,--
src/inputs/sat/aim-50-6_0-yes1-3.cnf,arbitrary,SAT,0.115
src/inputs/sat/ii16c1.cnf,arbitrary,SAT,4.248
src/inputs/sat/ssa7552-038.cnf,arbitrary,SAT,0.408
src/inputs/sat/aim-200-6_0-yes1-2.cnf,arbitrary,SAT,0.340
src/inputs/sat/aim-200-6_0-yes1-1.cnf,arbitrary,SAT,0.730
src/inputs/sat/ii16b2.cnf,arbitrary,SAT,4.705
src/inputs/sat/uf50-011.cnf,arbitrary,SAT,0.115
src/inputs/sat/ii16e1.cnf,arbitrary,SAT,7.144
src/inputs/sat/ii8b3.cnf,arbitrary,SAT,1.227
src/inputs/sat/par8-1-c.cnf,arbitrary,SAT,0.105
src/inputs/sat/aim-50-2_0-yes1-1.cnf,arbitrary,SAT,0.169
src/inputs/sat/par8-5.cnf,arbitrary,SAT,0.225
src/inputs/sat/ii32c1.cnf,arbitrary,SAT,0.149
src/inputs/sat/uf50-014.cnf,arbitrary,SAT,0.118
