File,Heuristic,Result,Execution Time
src/inputs/test/unsat/nop.cnf,custom,UNSAT,0.601
src/inputs/test/unsat/nop2.cnf,custom,UNSAT,0.601
src/inputs/test/unsat/tree5.cnf,custom,UNSAT,0.602
src/inputs/test/unsat/hole5.cnf,custom,UNSAT,0.604
src/inputs/test/unsat/rand3_2.cnf,custom,UNSAT,0.628
src/inputs/test/unsat/op5.cnf,custom,UNSAT,0.648
src/inputs/test/unsat/hole2.cnf,custom,UNSAT,0.344
src/inputs/test/unsat/tent2_2.cnf,custom,UNSAT,0.350
src/inputs/test/unsat/rand3.cnf,custom,UNSAT,0.326
src/inputs/test/unsat/count7_2.cnf,custom,UNSAT,0.315
src/inputs/test/unsat/tseitin.cnf,custom,UNSAT,0.371
src/inputs/test/unsat/subset6.cnf,custom,UNSAT,1.74
src/inputs/test/unsat/parity5.cnf,custom,UNSAT,0.492
src/inputs/test/sat/xor.cnf,custom,SAT,0.345
src/inputs/test/sat/unit.cnf,custom,SAT,0.387
src/inputs/test/sat/parity4.cnf,custom,SAT,0.390
src/inputs/test/sat/matching4_3.cnf,custom,SAT,0.382
src/inputs/test/sat/parity6.cnf,custom,SAT,0.298
src/inputs/test/sat/tent4_4.cnf,custom,SAT,0.328
src/inputs/test/sat/matching6_4.cnf,custom,SAT,0.343
src/inputs/test/sat/count6_2.cnf,custom,SAT,0.377
src/inputs/test/sat/unique.cnf,custom,SAT,0.349
src/inputs/test/sat/count4_2.cnf,custom,SAT,0.301
src/inputs/test/sat/kcolor.cnf,custom,SAT,0.292
src/inputs/test/sat/count6_3.cnf,custom,SAT,0.355
src/inputs/test/sat/hole3_3.cnf,custom,SAT,0.358
src/inputs/test/sat/hole5_5.cnf,custom,SAT,0.359
src/inputs/test/sat/rand6.cnf,custom,SAT,0.364
src/inputs/test/unsat/stone_pyramid4_2.cnf,custom,UNSAT,3.571
src/inputs/test/unsat/op7.cnf,custom,UNSAT,12.686
src/inputs/unsat/aim-100-1_6-no-1.cnf,custom,TIMEOUT,--
src/inputs/unsat/pret60_75.cnf,custom,TIMEOUT,--
