File,Heuristic,Result,Execution Time
src/inputs/sat/aim-100-3_4-yes1-1.cnf,vsids,SAT,1.109
src/inputs/sat/uf50-08.cnf,vsids,SAT,1.118
src/inputs/sat/ii32b1.cnf,vsids,SAT,1.123
src/inputs/sat/ii16e2.cnf,vsids,SAT,3.771
src/inputs/sat/uf50-017.cnf,vsids,SAT,0.132
src/inputs/sat/uf50-018.cnf,vsids,SAT,0.106
src/inputs/sat/aim-100-3_4-yes1-3.cnf,vsids,SAT,0.140
src/inputs/sat/ii32c3.cnf,vsids,SAT,0.733
src/inputs/sat/uf50-015.cnf,vsids,SAT,0.112
src/inputs/sat/ii32d1.cnf,vsids,SAT,12.76
src/inputs/sat/ii8b1.cnf,vsids,SAT,0.285
src/inputs/sat/uf50-05.cnf,vsids,SAT,0.100
src/inputs/sat/par8-3.cnf,vsids,SAT,0.169
src/inputs/sat/aim-50-6_0-yes1-2.cnf,vsids,SAT,0.111
src/inputs/sat/par8-3-c.cnf,vsids,SAT,0.102
src/inputs/sat/ii16c2.cnf,vsids,SAT,16.57
src/inputs/sat/uf50-019.cnf,vsids,SAT,0.111
src/inputs/sat/ii8a1.cnf,vsids,SAT,0.100
src/inputs/sat/par8-1.cnf,vsids,SAT,0.142
src/inputs/sat/par8-2-c.cnf,vsids,SAT,0.111
src/inputs/sat/aim-200-2_0-yes1-2.cnf,vsids,SAT,0.293
src/inputs/sat/ii32e1.cnf,vsids,SAT,0.153
src/inputs/sat/aim-100-3_4-yes1-2.cnf,vsids,SAT,0.147
src/inputs/sat/uf50-012.cnf,vsids,SAT,0.139
src/inputs/sat/ii8e2.cnf,vsids,SAT,1.286
src/inputs/sat/aim-50-6_0-yes1-1.cnf,vsids,SAT,0.98
src/inputs/sat/aim-50-2_0-yes1-3.cnf,vsids,SAT,0.103
src/inputs/sat/ii16d2.cnf,vsids,SAT,20.615
src/inputs/sat/aim-100-2_0-yes1-3.cnf,vsids,SAT,0.121
src/inputs/sat/ii32e4.cnf,vsids,SAT,42.691
src/inputs/sat/ii32e3.cnf,vsids,SAT,27.468
src/inputs/sat/aim-100-1_6-yes1-4.cnf,vsids,SAT,0.110
src/inputs/sat/aim-100-6_0-yes1-3.cnf,vsids,SAT,0.190
src/inputs/sat/uf50-03.cnf,vsids,SAT,0.117
src/inputs/sat/aim-100-1_6-yes1-3.cnf,vsids,SAT,0.167
src/inputs/sat/aim-100-1_6-yes1-2.cnf,vsids,SAT,0.113
src/inputs/sat/aim-50-2_0-yes1-4.cnf,vsids,SAT,0.105
