File,Heuristic,Result,Execution Time
src/inputs/test/unsat/op5.cnf,Jeroslaw-Wang,UNSAT,0.459277
src/inputs/test/unsat/op7.cnf,Jeroslaw-Wang,UNSAT,0.644420
src/inputs/test/unsat/nop.cnf,Jeroslaw-Wang,UNSAT,0.364497
src/inputs/test/unsat/tree5.cnf,Jeroslaw-Wang,UNSAT,0.371585
src/inputs/test/unsat/subset6.cnf,Jeroslaw-Wang,UNSAT,0.928062
src/inputs/test/unsat/nop2.cnf,Jeroslaw-Wang,UNSAT,0.365768
src/inputs/test/unsat/hole5.cnf,Jeroslaw-Wang,UNSAT,0.398106
src/inputs/test/unsat/rand3_2.cnf,Jeroslaw-Wang,UNSAT,0.583147
src/inputs/test/unsat/tseitin.cnf,Jeroslaw-Wang,UNSAT,0.438814
src/inputs/test/unsat/hole2.cnf,Jeroslaw-Wang,UNSAT,0.367630
src/inputs/test/unsat/parity5.cnf,Jeroslaw-Wang,UNSAT,0.474686
src/inputs/test/unsat/tent2_2.cnf,Jeroslaw-Wang,UNSAT,0.372045
src/inputs/test/unsat/rand3.cnf,Jeroslaw-Wang,UNSAT,0.377210
src/inputs/test/unsat/count7_2.cnf,Jeroslaw-Wang,UNSAT,0.520921
src/inputs/test/unsat/stone_pyramid4_2.cnf,Jeroslaw-Wang,UNSAT,0.673022
src/inputs/test/sat/unit.cnf,Jeroslaw-Wang,SAT,0.388843
src/inputs/test/sat/parity4.cnf,Jeroslaw-Wang,SAT,0.364697
src/inputs/test/sat/matching4_3.cnf,Jeroslaw-Wang,SAT,0.385526
src/inputs/test/sat/xor.cnf,Jeroslaw-Wang,SAT,0.372069
src/inputs/test/sat/tent4_4.cnf,Jeroslaw-Wang,SAT,0.503277
src/inputs/test/sat/parity6.cnf,Jeroslaw-Wang,SAT,0.400524
src/inputs/test/sat/count6_2.cnf,Jeroslaw-Wang,SAT,0.460626
src/inputs/test/sat/count6_3.cnf,Jeroslaw-Wang,SAT,0.381153
src/inputs/test/sat/unique.cnf,Jeroslaw-Wang,SAT,0.379337
src/inputs/test/sat/matching6_4.cnf,Jeroslaw-Wang,SAT,0.355734
src/inputs/test/sat/count4_2.cnf,Jeroslaw-Wang,SAT,0.345490
src/inputs/test/sat/kcolor.cnf,Jeroslaw-Wang,SAT,0.347353
src/inputs/test/sat/rand6.cnf,Jeroslaw-Wang,SAT,0.377124
src/inputs/test/sat/hole5_5.cnf,Jeroslaw-Wang,SAT,0.370893
src/inputs/test/sat/hole3_3.cnf,Jeroslaw-Wang,SAT,0.436477
